Order ID,Assigned Plant,Origin Port,Assigned Carrier,Manufacturing Day,Total Cost ($)
1447149329,PLANT03,PORT04,V444_0,Day 3,390.39
1447149330,PLANT03,PORT04,V444_0,Day 3,376.41
1447149337,PLANT03,PORT04,V444_0,Day 3,435.41
1447149338,PLANT03,PORT04,V444_0,Day 3,389.35
1447149340,PLANT03,PORT04,V444_0,Day 3,454.04
1447149341,PLANT03,PORT04,V444_0,Day 3,467.49
1447149342,PLANT03,PORT04,V444_0,Day 3,879.94
1447149350,PLANT03,PORT04,V444_0,Day 3,361.41
1447149351,PLANT03,PORT04,V444_0,Day 3,391.94
1447149352,PLANT03,PORT04,V444_0,Day 3,375.9
1447149356,PLANT03,PORT04,V444_0,Day 3,505.27
1447149361,PLANT03,PORT04,V444_0,Day 3,338.64
1447149381,PLANT03,PORT04,V444_0,Day 3,1400.03
1447149382,PLANT03,PORT04,V444_0,Day 4,471.24
1447149385,PLANT03,PORT04,V444_0,Day 4,505.91
1447149388,PLANT03,PORT04,V444_0,Day 4,444.33
1447149390,PLANT03,PORT04,V444_0,Day 4,483.66
1447149397,PLANT03,PORT04,V444_0,Day 4,466.58
1447149402,PLANT04,PORT05,V444_5,Day 1,168.98
1447149403,PLANT03,PORT04,V444_0,Day 4,535.93
1447149404,PLANT03,PORT04,V444_0,Day 4,437.6
1447149405,PLANT03,PORT04,V444_0,Day 4,602.17
1447149406,PLANT03,PORT04,V444_0,Day 4,538.4
1447149407,PLANT03,PORT04,V444_0,Day 4,1170.92
1447149408,PLANT03,PORT04,V444_0,Day 4,445.36
1447149409,PLANT03,PORT04,V444_0,Day 4,479.52
1447149415,PLANT03,PORT04,V444_0,Day 4,449.5
1447149416,PLANT04,PORT05,V444_5,Day 1,144.13
1447149421,PLANT03,PORT04,V444_0,Day 4,440.19
1447149443,PLANT03,PORT04,V444_0,Day 4,486.76
1447149444,PLANT03,PORT04,V444_0,Day 4,464.51
1447149445,PLANT03,PORT04,V444_0,Day 4,672.55
1447149446,PLANT03,PORT04,V444_0,Day 4,559.73
1447149448,PLANT02,PORT03,V444_8,Day 2,1247.76
1447149653,PLANT03,PORT04,V444_0,Day 4,492.97
1447149768,PLANT03,PORT04,V444_0,Day 4,456.23
1447149771,PLANT03,PORT04,V444_0,Day 4,431.91
1447149772,PLANT03,PORT04,V444_0,Day 4,857.24
1447149773,PLANT03,PORT04,V444_0,Day 4,604.12
1447149782,PLANT03,PORT04,V444_0,Day 4,468.13
1447149896,PLANT16,PORT09,V444_0,Day 1,744.21
1447149934,PLANT03,PORT04,V444_0,Day 4,456.75
1447149949,PLANT02,PORT03,V444_8,Day 2,362.84
1447150323,PLANT07,PORT02,V444_5,Day 1,709.2
1447150377,PLANT04,PORT05,V444_5,Day 1,175.41
1447150406,PLANT03,PORT04,V444_0,Day 4,674.62
1447150407,PLANT03,PORT04,V444_0,Day 4,1391.21
1447150408,PLANT03,PORT04,V444_0,Day 4,468.65
1447150492,PLANT03,PORT04,V444_0,Day 4,554.04
1447150570,PLANT03,PORT04,V444_0,Day 4,25803.9
1447150571,PLANT03,PORT04,V444_0,Day 4,23982.3
1447150572,PLANT03,PORT04,V444_0,Day 4,25827.7
1447150573,PLANT03,PORT04,V444_0,Day 4,25797.69
1447150574,PLANT03,PORT04,V444_0,Day 4,1495.89
1447150647,PLANT03,PORT04,V444_0,Day 4,643.05
1447150677,PLANT07,PORT02,V444_5,Day 1,1521.45
1447150680,PLANT07,PORT02,V444_5,Day 1,1554.88
1447150691,PLANT03,PORT04,V444_0,Day 4,1998.38
1447150702,PLANT03,PORT04,V444_0,Day 4,528.16
1447150728,PLANT03,PORT04,V444_0,Day 4,459.85
1447150729,PLANT03,PORT04,V444_0,Day 4,710.84
1447150752,PLANT03,PORT04,V444_0,Day 4,589.75
1447150935,PLANT03,PORT04,V444_0,Day 4,635.8
1447150953,PLANT12,PORT04,V444_0,Day 2,900.4
1447150971,PLANT03,PORT04,V444_0,Day 4,548.35
1447150972,PLANT03,PORT04,V444_0,Day 4,710.32
1447150973,PLANT03,PORT04,V444_4,Day 4,522.81
1447150974,PLANT03,PORT04,V444_0,Day 4,656.5
1447150975,PLANT03,PORT04,V444_4,Day 4,486.55
